Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
See No Evil,19-May-06,Lionsgate,R,"$15,032,800 ","2,295,083",Horror
The Da Vinci Code,19-May-06,Sony Pictures,PG-13,"$217,536,138 ","33,211,624",Thriller/Suspense
Moonlight,19-May-06,Indican Pictures,Not Rated,"$50,204 ","7,664",Thriller/Suspense
Moonlight,19-May-06,Indican Pictures,Not Rated,"$1,366 ",198,Thriller/Suspense
La Moustache,24-May-06,Cinema Guild,Not Rated,"$244,771 ","37,369",Comedy
X-Men: The Last Stand,26-May-06,20th Century Fox,PG-13,"$234,362,462 ","35,780,528",Action
Fanaa,26-May-06,Yash Raj Films,Not Rated,"$2,105,351 ","321,427",Drama
Shem,26-May-06,HP Releasing,Not Rated,"$14,804 ","2,260",Drama
Cavite,26-May-06,Truly Indie,Not Rated,"$70,071 ","10,697",Thriller/Suspense
Coastlines,31-May-06,IFC First Take,R,"$7,883 ","1,203",Drama
Banlieue 13,2-Jun-06,Magnolia Pictures,R,"$1,200,216 ","183,239",Action
Taepung,2-Jun-06,Paramount Vantage,R,"$139,059 ","21,230",Action
The Puffy Chair,2-Jun-06,IDP/Goldwyn/Roadside,R,"$194,523 ","29,698",Comedy
Peaceful Warrior,2-Jun-06,Universal,PG-13,"$1,066,748 ","162,862",Drama
The Conrad Boys,2-Jun-06,Newport Films,Not Rated,"$11,001 ","1,679",Drama
50 Ways of Saying Fabulous,2-Jun-06,Olive Films,Not Rated,"$4,800 ",732,Drama
Peaceful Warrior,2-Jun-06,Universal,PG-13,"$1,826,918 ","265,540",Drama
The Omen,6-Jun-06,20th Century Fox,R,"$54,607,383 ","8,337,005",Horror
Psychopathia Sexualis,8-Jun-06,Kino International,R,"$4,012 ",612,Drama
Cars,9-Jun-06,Walt Disney,G,"$244,082,982 ","37,264,577",Adventure
A Prairie Home Companion,9-Jun-06,Picturehouse,PG-13,"$20,342,852 ","3,105,778",Comedy
Chup Chup Ke,9-Jun-06,UTV Communications,Not Rated,"$334,618 ","51,086",Comedy
Slow Jam King,9-Jun-06,Unico Entertainment,Not Rated,"$4,270 ",651,Comedy
The Long Weekend,9-Jun-06,Gold Circle Films,R,"$1,286 ",196,Comedy
El Perro,9-Jun-06,Cinema Tropical,Not Rated,"$19,791 ","3,021",Drama
Automne,9-Jun-06,Truly Indie,Not Rated,"$12,655 ","1,932",Drama
Agnes und seine Br�der,9-Jun-06,First Run Features,Not Rated,"$2,731 ",416,Drama
Going Under,14-Jun-06,Argot Pictures,Not Rated,"$3,917 ",598,Drama
The Fast and the Furious: T�,16-Jun-06,Universal,PG-13,"$62,615,510 ","9,559,619",Action
Beowulf & Grendel,16-Jun-06,Truly Indie,R,"$68,820 ","10,506",Action
Garfield: A Tail of Two Kit�,16-Jun-06,20th Century Fox,PG,"$28,426,747 ","4,339,961",Adventure
Nacho Libre,16-Jun-06,Paramount Pictures,PG,"$80,197,993 ","12,243,968",Comedy
The Mostly Unfabulous Socia�,16-Jun-06,Regent Releasing,R,"$153,122 ","23,377",Comedy
Dog Lover's Symphony,16-Jun-06,Self Distributed,Not Rated,"$2,968 ",453,Comedy
Uncut,16-Jun-06,Strand,Not Rated,$762 ,116,Comedy
The Lake House,16-Jun-06,Warner Bros.,PG,"$52,330,111 ","7,989,329",Drama
Cidade Baixa,16-Jun-06,Palm Pictures,R,"$130,794 ","19,968",Drama
Loverboy,16-Jun-06,ThinkFilm,R,"$33,223 ","5,072",Drama
Fall to Grace,16-Jun-06,Truly Indie,Not Rated,"$8,043 ","1,227",Drama
Land of the Blind,16-Jun-06,Bauer Martinez,R,"$5,244 ",800,Drama
Krrish,23-Jun-06,AdLab Films,Not Rated,"$1,430,721 ","218,430",Action
Click,23-Jun-06,Sony Pictures,PG-13,"$137,355,633 ","20,970,325",Comedy
Wassup Rockers,23-Jun-06,First Look,R,"$221,574 ","33,828",Comedy
Say Uncle,23-Jun-06,TLA Releasing,R,"$5,361 ",818,Comedy
Waist Deep,23-Jun-06,Focus/Rogue Pictures,R,"$21,344,312 ","3,258,673",Drama
The Road to Guantanamo,23-Jun-06,IDP/Goldwyn/Roadside,R,"$326,876 ","49,904",Drama
The Great New Wonderful,23-Jun-06,First Independent�,R,"$150,142 ","22,922",Drama
Kakushi-ken: oni no tsume,23-Jun-06,Tartan Films,R,"$38,147 ","5,823",Drama
Odete,23-Jun-06,Strand,Not Rated,"$24,452 ","3,733",Drama
Superman Returns,28-Jun-06,Warner Bros.,PG-13,"$200,120,000 ","30,552,671",Adventure
Strangers with Candy,28-Jun-06,ThinkFilm,R,"$2,072,645 ","316,434",Comedy
The Motel,28-Jun-06,Palm Pictures,Not Rated,"$51,540 ","7,868",Drama
The Devil Wears Prada,30-Jun-06,20th Century Fox,PG-13,"$124,740,460 ","19,044,345",Comedy
Pirates of the Caribbean: D�,7-Jul-06,Walt Disney,PG-13,"$423,315,812 ","64,628,368",Adventure
Le Secret de ma Mere,7-Jul-06,Alliance Films,Not Rated,"$2,399,232 ","366,294",Comedy
Le Secret de ma Mere,7-Jul-06,Alliance Films,Not Rated,"$39,363 ","5,721",Comedy
Vers le sud,7-Jul-06,Railroad Square,Not Rated,"$898,294 ","137,144",Drama
A Scanner Darkly,7-Jul-06,Warner Bros.,R,"$5,501,616 ","839,941",Thriller/Suspense
"You, Me and Dupree",14-Jul-06,Universal,PG-13,"$75,802,010 ","11,572,825",Comedy
Little Man,14-Jul-06,Sony Pictures,PG-13,"$58,636,047 ","8,952,068",Comedy
The Groomsmen,14-Jul-06,Bauer Martinez,R,"$128,585 ","19,631",Comedy
Changing Times,14-Jul-06,Koch Lorber Films,Not Rated,"$545,255 ","83,245",Drama
Gabrielle,14-Jul-06,IFC Films,Not Rated,"$332,829 ","50,813",Drama
Le temps qui reste,14-Jul-06,Strand,Not Rated,"$117,686 ","17,967",Drama
Azumi,21-Jul-06,Vitagraph Films,Not Rated,"$41,803 ","6,382",Action
Monster House,21-Jul-06,Sony Pictures,PG,"$73,661,010 ","11,245,955",Adventure
Clerks II,21-Jul-06,MGM,R,"$24,148,068 ","3,686,727",Comedy
My Super Ex-Girlfriend,21-Jul-06,20th Century Fox,PG-13,"$22,530,295 ","3,439,739",Comedy
Wondrous Oblivion,21-Jul-06,Palm Pictures,PG,"$88,560 ","13,520",Comedy
Shadowboxer,21-Jul-06,Freestyle Releasing,R,"$370,627 ","56,584",Drama
Lady in the Water,21-Jul-06,Warner Bros.,PG-13,"$42,285,169 ","6,455,750",Thriller/Suspense
Little Miss Sunshine,26-Jul-06,Fox Searchlight,R,"$59,489,083 ","9,082,302",Comedy
Little Miss Sunshine,26-Jul-06,Fox Searchlight,R,"$402,015 ","58,432",Comedy
Miami Vice,28-Jul-06,Universal,R,"$63,478,838 ","9,691,425",Action
The Ant Bully,28-Jul-06,Warner Bros.,PG,"$28,142,535 ","4,296,570",Adventure
Another Gay Movie,28-Jul-06,TLA Releasing,Not Rated,"$654,132 ","99,867",Comedy
Omkara,28-Jul-06,Eros Entertainment,Not Rated,"$1,244,576 ","190,011",Drama
13 Tzameti,28-Jul-06,Palm Pictures,Not Rated,"$121,390 ","18,532",Thriller/Suspense
Quinceanera,2-Aug-06,Sony Pictures Cla�,R,"$1,692,693 ","258,426",Drama
Barnyard: The Original Part�,4-Aug-06,Paramount Pictures,PG,"$72,779,000 ","11,111,297",Adventure
Talladega Nights: The Balla�,4-Aug-06,Sony Pictures,PG-13,"$148,213,377 ","22,627,996",Comedy
"Bon Cop, Bad Cop",4-Aug-06,Alliance Films,Not Rated,"$12,671,300 ","1,934,549",Comedy
Anthony Kaun Hai,4-Aug-06,AdLab Films,Not Rated,"$55,418 ","8,460",Comedy
The Night Listener,4-Aug-06,Miramax,R,"$7,836,393 ","1,196,395",Drama
Sukob,4-Aug-06,ABS-CBN,Not Rated,"$300,454 ","45,870",Drama
Jailbait,4-Aug-06,Kindred Media Group,R,"$5,741 ",876,Drama
Hair High,4-Aug-06,Plymptoons,Not Rated,"$5,342 ",815,Horror
The Descent,4-Aug-06,Lionsgate,R,"$26,024,456 ","3,973,199",Thriller/Suspense
La Demoiselle d'honneur,4-Aug-06,First Run Features,Not Rated,"$107,485 ","16,409",Thriller/Suspense
La Demoiselle d'honneur,4-Aug-06,First Run Features,Not Rated,"$4,243 ",616,Thriller/Suspense
World Trade Center,9-Aug-06,Paramount Pictures,PG-13,"$70,278,893 ","10,729,601",Drama
Poster Boy,9-Aug-06,Regent Releasing,R,"$62,062 ","9,475",Drama
S�len�,9-Aug-06,Zeitgeist,Not Rated,"$45,798 ","6,992",Horror
S�len�,9-Aug-06,Zeitgeist,Not Rated,"$2,526 ",367,Horror
Zoom,11-Aug-06,Sony Pictures,PG,"$11,989,328 ","1,830,431",Adventure
Conversations with Other Women,11-Aug-06,Fabrication Films,R,"$379,418 ","57,926",Comedy
Step Up,11-Aug-06,Walt Disney,PG-13,"$65,328,121 ","9,973,758",Drama
Kabhi Alvida Naa Kehna,11-Aug-06,Yash Raj Films,Not Rated,"$3,275,443 ","500,067",Drama
Half Nelson,11-Aug-06,ThinkFilm,R,"$2,697,938 ","411,898",Drama
Casa de Areia,11-Aug-06,Sony Pictures Cla�,R,"$539,285 ","82,333",Drama
Waltzing Anna,11-Aug-06,Kindred Media Group,PG-13,"$11,455 ","1,748",Drama
The Trouble with Men and Women,11-Aug-06,IFC Films,Not Rated,$967 ,147,Drama
Pulse,11-Aug-06,Weinstein/Dimension,R,"$20,264,436 ","3,093,807",Horror
Calvaire,11-Aug-06,Palm Pictures,Not Rated,"$2,623 ",400,Horror
George Bush Goes to Heaven,15-Aug-06,HB Filmworks,Not Rated,"$3,056 ",466,Drama
Accepted,18-Aug-06,Universal,PG-13,"$36,580,083 ","5,584,745",Comedy
Material Girls,18-Aug-06,MGM,PG,"$11,449,638 ","1,748,036",Comedy
Trust the Man,18-Aug-06,Fox Searchlight,R,"$1,530,535 ","233,669",Comedy
The Illusionist,18-Aug-06,Yari Film Group R�,PG-13,"$39,770,232 ","6,071,791",Drama
Factotum,18-Aug-06,IFC Films,R,"$808,221 ","123,392",Drama
10th & Wolf,18-Aug-06,ThinkFilm,Not Rated,"$54,702 ","8,351",Drama
The Illusionist,18-Aug-06,Yari Film Group R�,PG-13,"$98,410 ","14,303",Drama
Snakes on a Plane,18-Aug-06,New Line,R,"$34,020,814 ","5,194,017",Thriller/Suspense
Princesas,23-Aug-06,IFC First Take,Not Rated,"$29,472 ","4,499",Drama
Beerfest,25-Aug-06,Warner Bros.,R,"$19,185,184 ","2,929,035",Comedy
Queens,25-Aug-06,Regent Releasing,R,"$140,417 ","21,437",Comedy
Queens,25-Aug-06,Regent Releasing,R,"$44,510 ","6,469",Comedy
Invincible,25-Aug-06,Walt Disney,PG,"$57,806,952 ","8,825,488",Drama
How to Eat Fried Worms,25-Aug-06,New Line,PG,"$13,040,527 ","1,990,920",Drama
The Quiet,25-Aug-06,Sony Pictures Cla�,R,"$381,420 ","58,232",Drama
Old Joy,25-Aug-06,Kino International,Not Rated,"$170,543 ","26,037",Drama
Old Joy,25-Aug-06,Kino International,Not Rated,"$85,380 ","12,409",Drama
Crank,1-Sep-06,Lionsgate,R,"$27,838,408 ","4,250,138",Action
Lassie,1-Sep-06,IDP/Goldwyn/Roadside,PG,"$652,163 ","99,566",Adventure
Lage Raho Munna Bhai,1-Sep-06,Eros Entertainment,Not Rated,"$2,217,561 ","338,558",Comedy
Idiocracy,1-Sep-06,20th Century Fox,R,"$444,093 ","67,800",Comedy
Mutual Appreciation,1-Sep-06,Goodbye Cruel Rel�,R,"$89,849 ","13,717",Comedy
Mutual Appreciation,1-Sep-06,Goodbye Cruel Rel�,R,"$13,660 ","1,985",Comedy
Crossover,1-Sep-06,Sony Pictures,PG-13,"$7,009,668 ","1,070,178",Drama
Qian li zou dan qi,1-Sep-06,Sony Pictures Cla�,PG,"$247,265 ","37,750",Drama
Looking for Kitty,1-Sep-06,ThinkFilm,R,"$4,480 ",683,Drama
Qian li zou dan qi,1-Sep-06,Sony Pictures Cla�,PG,"$5,060 ",735,Drama
The Wicker Man,1-Sep-06,Warner Bros.,PG-13,"$24,413,467 ","3,727,246",Thriller/Suspense
Familia rodante,6-Sep-06,Palm Pictures,Not Rated,"$9,291 ","1,418",Comedy
Tom yum goong,8-Sep-06,Weinstein Co.,R,"$12,044,087 ","1,838,791",Action
Hollywoodland,8-Sep-06,Focus Features,R,"$14,426,251 ","2,202,481",Drama
Broken Bridges,8-Sep-06,Paramount Vantage,PG-13,"$251,775 ","38,438",Drama
Sherrybaby,8-Sep-06,IFC Films,R,"$199,176 ","30,408",Drama
Le petit lieutenant,8-Sep-06,Cinema Libre,Not Rated,"$127,608 ","19,482",Drama
Red Doors,8-Sep-06,Emerging Pictures,Not Rated,"$97,848 ","14,938",Drama
Man Push Cart,8-Sep-06,Film Philos,Not Rated,"$36,608 ","5,589",Drama
Le petit lieutenant,8-Sep-06,Cinema Libre,Not Rated,"$89,116 ","12,952",Drama
The Covenant,8-Sep-06,Sony Pictures,PG-13,"$23,364,784 ","3,567,142",Thriller/Suspense
Everyone's Hero,15-Sep-06,20th Century Fox,G,"$14,523,101 ","2,217,267",Adventure
Keeping Mum,15-Sep-06,ThinkFilm,R,"$1,603,973 ","244,881",Comedy
Artie Lange's Beer League,15-Sep-06,Freestyle Releasing,R,"$475,000 ","72,519",Comedy
Keeping Mum,15-Sep-06,ThinkFilm,R,"$15,493 ","2,251",Comedy
Gridiron Gang,15-Sep-06,Sony Pictures,PG-13,"$38,432,823 ","5,867,606",Drama
Aurora Borealis,15-Sep-06,Regent Releasing,R,"$60,729 ","9,271",Drama
The Black Dahlia,15-Sep-06,Universal,R,"$22,672,813 ","3,461,498",Thriller/Suspense
Ambrose Bierce: Civil War S�,20-Sep-06,Hannover House,Not Rated,"$22,918 ","3,498",Drama
Renaissance,22-Sep-06,Miramax,R,"$70,644 ","10,785",Action
Kaptein Sabeltann,22-Sep-06,Indican Pictures,Not Rated,"$105,152 ","16,053",Adventure
La science des r�ves,22-Sep-06,Warner Independent,R,"$4,670,644 ","713,075",Comedy
The Blossoming of Maximo Ol�,22-Sep-06,Unico Entertainment,Not Rated,"$28,041 ","4,281",Comedy
Alien Autopsy,22-Sep-06,Warner Independent,PG-13,"$2,867 ",437,Comedy
Huo Yuan Jia,22-Sep-06,Focus/Rogue Pictures,PG-13,"$24,633,730 ","3,760,874",Drama
Flyboys,22-Sep-06,MGM,PG-13,"$13,090,630 ","1,998,569",Drama
All the King's Men,22-Sep-06,Sony Pictures,PG-13,"$7,221,458 ","1,102,512",Drama
Feast,22-Sep-06,Weinstein/Dimension,R,"$56,131 ","8,569",Horror
The Last King of Scotland,27-Sep-06,Fox Searchlight,R,"$3,619,600 ","552,610",Drama
The Last King of Scotland,27-Sep-06,Fox Searchlight,R,"$13,987,084 ","2,033,006",Drama
The Guardian,29-Sep-06,Walt Disney,PG-13,"$55,011,732 ","8,398,737",Action
Open Season,29-Sep-06,Sony Pictures,PG,"$85,105,259 ","12,993,169",Adventure
School for Scoundrels,29-Sep-06,MGM,PG-13,"$17,807,569 ","2,718,712",Comedy
Facing the Giants,29-Sep-06,IDP/Goldwyn/Roadside,PG,"$10,072,889 ","1,537,845",Drama
A Guide to Recognizing Your�,29-Sep-06,First Look,R,"$516,139 ","78,799",Drama
Facing the Giants,29-Sep-06,IDP/Goldwyn/Roadside,PG,"$105,442 ","15,325",Drama
The Strange Case of Dr. Jek�,29-Sep-06,Rocky Mountain Pi�,R,"$24,216 ","3,697",Horror
The Queen,30-Sep-06,Miramax,PG-13,"$28,196,606 ","4,304,825",Drama
The Queen,30-Sep-06,Miramax,PG-13,"$28,245,105 ","4,105,393",Drama
Shortbus,4-Oct-06,ThinkFilm,Not Rated,"$1,930,689 ","294,761",Comedy
Shortbus,4-Oct-06,ThinkFilm,Not Rated,"$54,603 ","7,936",Comedy
Employee of the Month,6-Oct-06,Lionsgate,PG-13,"$28,444,855 ","4,342,725",Comedy
Trailer Park Boys: The Movie,6-Oct-06,Alliance Films,R,"$3,833,507 ","585,268",Comedy
Issues,6-Oct-06,Bullz Eye,Not Rated,$783 ,119,Comedy
The Departed,6-Oct-06,Warner Bros.,R,"$120,359,613 ","18,375,513",Drama
Little Children,6-Oct-06,New Line,R,"$2,475,049 ","377,870",Drama
The Departed,6-Oct-06,Warner Bros.,R,"$12,024,702 ","1,747,776",Drama
Little Children,6-Oct-06,New Line,R,"$2,987,970 ","434,297",Drama
The Texas Chainsaw Massacre�,6-Oct-06,New Line,R,"$39,517,763 ","6,033,246",Horror
The Marine,13-Oct-06,20th Century Fox,PG-13,"$18,782,953 ","2,867,626",Action
Alex Rider: Operation Storm�,13-Oct-06,Weinstein Co.,PG,"$659,210 ","100,642",Action
The Marine,13-Oct-06,20th Century Fox,PG-13,"$61,831 ","8,987",Action
Man of the Year,13-Oct-06,Universal,PG-13,"$37,442,180 ","5,716,363",Comedy
One Night with the King,13-Oct-06,Rocky Mountain Pi�,PG,"$13,395,961 ","2,045,184",Drama
Infamous,13-Oct-06,Warner Independent,R,"$1,151,330 ","175,775",Drama
Sweet Land,13-Oct-06,"Libero, LLC",Not Rated,"$919,639 ","140,402",Drama
Tideland,13-Oct-06,ThinkFilm,R,"$66,453 ","10,145",Drama
Sweet Land,13-Oct-06,"Libero, LLC",Not Rated,"$786,686 ","114,343",Drama
The Grudge 2,13-Oct-06,Sony Pictures,PG-13,"$39,143,839 ","5,976,158",Horror
Don,20-Oct-06,UTV Communications,Not Rated,"$2,223,961 ","339,536",Action
Running With Scissors,20-Oct-06,Sony Pictures,R,"$6,860,000 ","1,047,328",Comedy
Flags of Our Fathers,20-Oct-06,Paramount Pictures,R,"$33,602,376 ","5,130,133",Drama
Flicka,20-Oct-06,20th Century Fox,PG,"$20,888,606 ","3,189,100",Drama
Marie Antoinette,20-Oct-06,Sony Pictures,PG-13,"$15,962,471 ","2,437,018",Drama
Aguirre: The Wrath of God,20-Oct-06,New Yorker,Not Rated,"$12,609 ","1,925",Drama
Masai: The Rain Warriors,20-Oct-06,ArtMattan Product�,Not Rated,"$1,929 ",294,Drama
Flicka,20-Oct-06,20th Century Fox,PG,"$111,541 ","16,212",Drama
Masai: The Rain Warriors,20-Oct-06,ArtMattan Product�,Not Rated,"$5,721 ",831,Drama
The Prestige,20-Oct-06,Walt Disney,PG-13,"$52,474,548 ","8,011,381",Thriller/Suspense
The Prestige,20-Oct-06,Walt Disney,PG-13,"$615,343 ","89,439",Thriller/Suspense
Romeo & Juliet: Sealed with�,27-Oct-06,Indican Pictures,G,"$174,299 ","26,610",Adventure
Romeo & Juliet: Sealed with�,27-Oct-06,Indican Pictures,G,"$288,703 ","41,962",Adventure
20 centi�metros,27-Oct-06,TLA Releasing,Not Rated,"$6,635 ","1,012",Comedy
Babel,27-Oct-06,Paramount Vantage,R,"$19,825,138 ","3,026,738",Drama
Death of a President,27-Oct-06,Newmarket Films,R,"$519,086 ","79,249",Drama
Conversations with God,27-Oct-06,IDP/Goldwyn/Roadside,PG,"$425,045 ","64,892",Drama
Iklimler,27-Oct-06,Zeitgeist,Not Rated,"$49,950 ","7,625",Drama
Christmas at Maxwell's,27-Oct-06,Laufer Films,PG,"$8,370 ","1,277",Drama
Babel,27-Oct-06,Paramount Vantage,R,"$14,477,699 ","2,104,316",Drama
Iklimler,27-Oct-06,Zeitgeist,Not Rated,"$70,008 ","10,175",Drama
Saw III,27-Oct-06,Lionsgate,R,"$80,238,724 ","12,250,186",Horror
Catch a Fire,27-Oct-06,Focus Features,PG-13,"$4,299,773 ","656,453",Thriller/Suspense
Cruel World,28-Oct-06,Indican Pictures,R,"$17,986 ","2,745",Horror
The Santa Clause 3: The Esc�,3-Nov-06,Walt Disney,G,"$83,549,047 ","12,755,579",Adventure
Flushed Away,3-Nov-06,Paramount Pictures,PG,"$61,733,119 ","9,424,903",Adventure
Flushed Away,3-Nov-06,Paramount Pictures,PG,"$2,932,553 ","426,243",Adventure
The Santa Clause 3: The Esc�,3-Nov-06,Walt Disney,G,"$951,075 ","138,237",Adventure
Borat,3-Nov-06,20th Century Fox,R,"$125,601,414 ","19,175,788",Comedy
Volver,3-Nov-06,Sony Pictures Cla�,R,"$4,753,067 ","725,659",Comedy
Volver,3-Nov-06,Sony Pictures Cla�,R,"$8,146,800 ","1,184,127",Comedy
Borat,3-Nov-06,20th Century Fox,R,"$2,904,544 ","422,172",Comedy
Umrao Jaan,3-Nov-06,AdLab Films,Not Rated,"$485,000 ","74,045",Drama
Unknown,3-Nov-06,IFC Films,Not Rated,"$26,403 ","4,030",Thriller/Suspense
Stranger Than Fiction,10-Nov-06,Sony Pictures,PG-13,"$40,435,190 ","6,173,311",Comedy
A Good Year,10-Nov-06,20th Century Fox,PG-13,"$7,430,241 ","1,134,387",Drama
Harsh Times,10-Nov-06,MGM,R,"$3,337,931 ","509,607",Drama
Copying Beethoven,10-Nov-06,MGM,PG-13,"$355,968 ","54,346",Drama
FUR: An Imaginary Portrait �,10-Nov-06,Picturehouse,R,"$223,202 ","34,076",Drama
Come Early Morning,10-Nov-06,IDP/Goldwyn/Roadside,R,"$119,452 ","18,236",Drama
A New Day In Old Sana'a,10-Nov-06,Arab Film Distrib�,Not Rated,$737 ,112,Drama
A Good Year,10-Nov-06,20th Century Fox,PG-13,"$29,059 ","4,223",Drama
The Return,10-Nov-06,Focus Features,PG-13,"$7,744,785 ","1,182,409",Thriller/Suspense
Flannel Pajamas,15-Nov-06,Gigantic Pictures,R,"$61,003 ","9,313",Drama
Flannel Pajamas,15-Nov-06,Gigantic Pictures,R,"$62,298 ","9,054",Drama
Casino Royale,17-Nov-06,Sony Pictures,PG-13,"$153,676,842 ","23,462,113",Action
Casino Royale,17-Nov-06,Sony Pictures,PG-13,"$13,688,158 ","1,989,557",Action
Happy Feet,17-Nov-06,Warner Bros.,PG,"$175,967,627 ","26,865,286",Adventure
Happy Feet,17-Nov-06,Warner Bros.,PG,"$22,032,690 ","3,202,425",Adventure
For Your Consideration,17-Nov-06,Warner Independent,PG-13,"$5,414,596 ","826,655",Comedy
Let's Go to Prison,17-Nov-06,Universal,R,"$4,630,045 ","706,877",Comedy
For Your Consideration,17-Nov-06,Warner Independent,PG-13,"$135,327 ","19,669",Comedy
Hood of Horror,17-Nov-06,,R,"$26,000 ","3,779",Comedy
Bobby,17-Nov-06,MGM,R,"$11,071,872 ","1,690,362",Drama
Fast Food Nation,17-Nov-06,Fox Searchlight,R,"$984,140 ","150,250",Drama
2 ou 3 choses que je sais d�,17-Nov-06,Rialto Pictures,Not Rated,"$74,808 ","11,421",Drama
Candy,17-Nov-06,ThinkFilm,R,"$39,322 ","6,003",Drama
The Piano Tuner of EarthQuakes,17-Nov-06,Zeitgeist,Not Rated,"$15,852 ","2,420",Drama
Bobby,17-Nov-06,MGM,R,"$170,929 ","24,844",Drama
2 ou 3 choses que je sais d�,17-Nov-06,Rialto Pictures,Not Rated,"$29,230 ","4,248",Drama
Fast Food Nation,17-Nov-06,Fox Searchlight,R,"$21,399 ","3,110",Drama
The Piano Tuner of EarthQuakes,17-Nov-06,Zeitgeist,Not Rated,"$13,269 ","1,928",Drama
Candy,17-Nov-06,ThinkFilm,R,"$5,806 ",843,Drama
After Dark HorrorFest 2006:�,17-Nov-06,Freestyle Releasing,Not Rated,"$2,310,680 ","352,775",Horror
El Aura,17-Nov-06,IFC Films,Not Rated,"$41,392 ","6,319",Thriller/Suspense
El Aura,17-Nov-06,IFC Films,Not Rated,"$17,412 ","2,530",Thriller/Suspense
The History Boys,21-Nov-06,Fox Searchlight,R,"$1,959,122 ","299,102",Comedy
The History Boys,21-Nov-06,Fox Searchlight,R,"$771,174 ","112,089",Comedy
Deck the Halls,22-Nov-06,20th Century Fox,PG,"$34,753,961 ","5,305,948",Comedy
Tenacious D in: The Pick of�,22-Nov-06,New Line,R,"$8,334,575 ","1,272,454",Comedy
Eating Out 2: Sloppy Seconds,22-Nov-06,Artiztical Entert�,Not Rated,"$24,736 ","3,776",Comedy
Deck the Halls,22-Nov-06,20th Century Fox,PG,"$339,608 ","49,361",Comedy
Eating Out 2: Sloppy Seconds,22-Nov-06,Artiztical Entert�,Not Rated,"$12,336 ","1,793",Comedy
The Fountain,22-Nov-06,Warner Bros.,PG-13,"$9,930,941 ","1,516,174",Drama
The Work and the Glory III:�,22-Nov-06,Excel Entertainment,PG,"$674,470 ","102,972",Drama
Opal Dream,22-Nov-06,Strand,PG,"$8,537 ","1,303",Drama
Backstage,22-Nov-06,Strand,Not Rated,"$6,690 ","1,021",Drama
The Work and the Glory III:�,22-Nov-06,Excel Entertainment,PG,"$650,622 ","94,567",Drama
The Fountain,22-Nov-06,Warner Bros.,PG-13,"$213,069 ","30,969",Drama
Backstage,22-Nov-06,Strand,Not Rated,"$5,973 ",868,Drama
Opal Dream,22-Nov-06,Strand,PG,"$5,906 ",858,Drama
D�j� Vu,22-Nov-06,Walt Disney,PG-13,"$61,574,479 ","9,400,683",Thriller/Suspense
D�j� Vu,22-Nov-06,Walt Disney,PG-13,"$2,464,137 ","358,159",Thriller/Suspense
Dhoom 2,23-Nov-06,Yash Raj Films,Not Rated,"$2,608,181 ","398,195",Action
Dhoom 2,23-Nov-06,Yash Raj Films,Not Rated,"$35,405 ","5,146",Action
Van Wilder Deux: The Rise o�,1-Dec-06,MGM,R,"$4,251,674 ","649,110",Comedy
Van Wilder Deux: The Rise o�,1-Dec-06,MGM,R,"$9,676 ","1,406",Comedy
The Nativity Story,1-Dec-06,New Line,PG,"$36,276,572 ","5,538,407",Drama
Ten Items or Less,1-Dec-06,ThinkFilm,R,"$83,291 ","12,716",Drama
The Architect,1-Dec-06,Magnolia Pictures,R,"$13,737 ","2,097",Drama
Four Eyed Monsters,1-Dec-06,Four Eyed Monsters,Not Rated,"$13,523 ","2,064",Drama
Unnatural and Accidental,1-Dec-06,Alliance Films,Not Rated,"$3,348 ",511,Drama
The Nativity Story,1-Dec-06,New Line,PG,"$1,353,259 ","196,694",Drama
Turistas,1-Dec-06,20th Century Fox,R,"$6,947,433 ","1,060,676",Thriller/Suspense
Turistas,1-Dec-06,20th Century Fox,R,"$80,329 ","11,675",Thriller/Suspense
Black Christmas,5-Dec-06,MGM,R,"$10,917,918 ","1,666,857",Horror
Black Christmas,5-Dec-06,MGM,R,"$5,317,820 ","772,938",Horror
Inland Empire,6-Dec-06,518 Media,R,"$170,968 ","26,101",Drama
Inland Empire,6-Dec-06,518 Media,R,"$678,087 ","98,559",Drama
Apocalypto,8-Dec-06,Walt Disney,R,"$42,654,236 ","6,512,097",Action
Blood Diamond,8-Dec-06,Warner Bros.,R,"$35,726,534 ","5,454,432",Action
Blood Diamond,8-Dec-06,Warner Bros.,R,"$21,651,382 ","3,147,003",Action
Apocalypto,8-Dec-06,Walt Disney,R,"$8,212,399 ","1,193,662",Action
