Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Silent Hill,21-Apr-06,Sony Pictures,R,"$46,982,632 ","7,172,920",Horror
The Sentinel,21-Apr-06,20th Century Fox,PG-13,"$36,280,697 ","5,539,037",Thriller/Suspense
Grip: A Criminal's Story,28-Apr-06,JeTi Films,Not Rated,"$1,336 ",203,Action
R.V.,28-Apr-06,Sony Pictures,PG,"$71,724,497 ","10,950,304",Adventure
Stick It,28-Apr-06,Walt Disney,PG-13,"$26,910,736 ","4,108,509",Comedy
M�nner wie wir,28-Apr-06,Regent Releasing,R,"$28,324 ","4,324",Comedy
United 93,28-Apr-06,Universal,R,"$31,567,134 ","4,819,409",Drama
Akeelah and the Bee,28-Apr-06,Lionsgate,PG,"$18,848,430 ","2,877,622",Drama
Water,28-Apr-06,Fox Searchlight,PG-13,"$5,529,144 ","844,144",Drama
The Lost City,28-Apr-06,Magnolia Pictures,R,"$2,484,186 ","379,265",Drama
L'arm�e des ombres,28-Apr-06,Rialto Pictures,Not Rated,"$654,591 ","99,937",Drama
Unidentified,28-Apr-06,Five & Two Pictures,PG,"$224,099 ","34,213",Drama
Zui Hao De Shi Guang,28-Apr-06,IFC First Take,Not Rated,"$151,922 ","23,194",Drama
Haven,28-Apr-06,Yari Film Group R�,R,"$142,483 ","21,753",Drama
Clean,28-Apr-06,Palm Pictures,R,"$138,711 ","21,177",Drama
Moartea domnului Lazarescu,28-Apr-06,Tartan Films,R,"$80,301 ","12,259",Drama
Killer Diller,28-Apr-06,Freestyle Releasing,PG-13,"$20,795 ","3,174",Drama
Hurensohn,28-Apr-06,Picture This Ente�,Not Rated,"$7,656 ","1,168",Drama
L'arm�e des ombres,28-Apr-06,Rialto Pictures,Not Rated,"$87,175 ","12,670",Drama
Chinjeolhan geumjassi,4-May-06,Tartan Films,Not Rated,"$211,667 ","32,315",Thriller/Suspense
Mission: Impossible III,5-May-06,Paramount Pictures,PG-13,"$133,501,348 ","20,381,885",Action
Wu ji,5-May-06,Warner Independent,PG-13,"$669,625 ","102,232",Action
Hoot,5-May-06,New Line,PG,"$8,117,637 ","1,239,333",Adventure
Art School Confidential,5-May-06,Sony Pictures Cla�,R,"$3,297,137 ","503,379",Comedy
